expanded,solved,type,elapsed_time,NoQueens
4,False,hill climbing,0.01033163070678711,8
5,True,hill climbing with sideways moves,0.010528326034545898,8
70,True,random restart hill climbing,0.16200590133666992,8
4,False,hill climbing,0.009096860885620117,8
104,False,hill climbing with sideways moves,0.22745060920715332,8
95,True,random restart hill climbing,0.22580838203430176,8
4,False,hill climbing,0.007933378219604492,8
104,False,hill climbing with sideways moves,0.2276616096496582,8
44,True,random restart hill climbing,0.09833240509033203,8
4,True,hill climbing,0.009952783584594727,8
4,True,hill climbing with sideways moves,0.009972095489501953,8
4,True,random restart hill climbing,0.012586832046508789,8
5,False,hill climbing,0.012064933776855469,8
6,True,hill climbing with sideways moves,0.014338970184326172,8
25,True,random restart hill climbing,0.05492448806762695,8
4,False,hill climbing,0.013967275619506836,8
104,False,hill climbing with sideways moves,0.22276043891906738,8
10,True,random restart hill climbing,0.019930124282836914,8
4,False,hill climbing,0.008906126022338867,8
8,True,hill climbing with sideways moves,0.021774768829345703,8
5,True,random restart hill climbing,0.014313459396362305,8
4,False,hill climbing,0.008803129196166992,8
104,False,hill climbing with sideways moves,0.2572360038757324,8
13,True,random restart hill climbing,0.027165651321411133,8
3,False,hill climbing,0.005889177322387695,8
6,True,hill climbing with sideways moves,0.012893915176391602,8
65,True,random restart hill climbing,0.13531494140625,8
3,False,hill climbing,0.005530357360839844,8
104,False,hill climbing with sideways moves,0.23548340797424316,8
17,True,random restart hill climbing,0.03664994239807129,8
6,False,hill climbing,0.0125579833984375,8
106,False,hill climbing with sideways moves,0.24908971786499023,8
13,True,random restart hill climbing,0.02778172492980957,8
4,False,hill climbing,0.008018970489501953,8
104,False,hill climbing with sideways moves,0.24852299690246582,8
16,True,random restart hill climbing,0.0345005989074707,8
4,True,hill climbing,0.007978439331054688,8
4,True,hill climbing with sideways moves,0.007995367050170898,8
4,True,random restart hill climbing,0.006982088088989258,8
5,True,hill climbing,0.010047674179077148,8
5,True,hill climbing with sideways moves,0.009943008422851562,8
5,True,random restart hill climbing,0.01004338264465332,8
4,False,hill climbing,0.009297847747802734,8
6,True,hill climbing with sideways moves,0.01199793815612793,8
11,True,random restart hill climbing,0.02328181266784668,8
6,False,hill climbing,0.012504339218139648,8
106,False,hill climbing with sideways moves,0.26383090019226074,8
31,True,random restart hill climbing,0.06821250915527344,8
4,True,hill climbing,0.009560108184814453,8
4,True,hill climbing with sideways moves,0.00992274284362793,8
4,True,random restart hill climbing,0.007059335708618164,8
2,False,hill climbing,0.004037380218505859,8
103,False,hill climbing with sideways moves,0.26505517959594727,8
52,True,random restart hill climbing,0.12187862396240234,8
4,False,hill climbing,0.008989095687866211,8
104,False,hill climbing with sideways moves,0.2670907974243164,8
8,True,random restart hill climbing,0.01695418357849121,8
4,False,hill climbing,0.01213216781616211,8
104,False,hill climbing with sideways moves,0.2554607391357422,8
13,True,random restart hill climbing,0.027135848999023438,8
4,False,hill climbing,0.010154485702514648,8
104,False,hill climbing with sideways moves,0.2247633934020996,8
17,True,random restart hill climbing,0.035332679748535156,8
4,False,hill climbing,0.007950067520141602,8
10,True,hill climbing with sideways moves,0.021136045455932617,8
23,True,random restart hill climbing,0.0477595329284668,8
4,False,hill climbing,0.012964010238647461,8
104,False,hill climbing with sideways moves,0.2355043888092041,8
46,True,random restart hill climbing,0.10769081115722656,8
5,False,hill climbing,0.010291337966918945,8
7,True,hill climbing with sideways moves,0.014114618301391602,8
18,True,random restart hill climbing,0.03896045684814453,8
4,False,hill climbing,0.008338689804077148,8
104,False,hill climbing with sideways moves,0.23801255226135254,8
28,True,random restart hill climbing,0.061325788497924805,8
5,False,hill climbing,0.009223461151123047,8
105,False,hill climbing with sideways moves,0.2311840057373047,8
10,True,random restart hill climbing,0.02015519142150879,8
5,False,hill climbing,0.009970903396606445,8
105,False,hill climbing with sideways moves,0.22297906875610352,8
126,True,random restart hill climbing,0.28453922271728516,8
4,False,hill climbing,0.009946107864379883,8
104,False,hill climbing with sideways moves,0.26350927352905273,8
27,True,random restart hill climbing,0.05552101135253906,8
5,False,hill climbing,0.009981155395507812,8
105,False,hill climbing with sideways moves,0.2387394905090332,8
14,True,random restart hill climbing,0.03229546546936035,8
2,False,hill climbing,0.007375478744506836,8
104,False,hill climbing with sideways moves,0.24543380737304688,8
9,True,random restart hill climbing,0.01803278923034668,8
5,False,hill climbing,0.010531425476074219,8
6,True,hill climbing with sideways moves,0.017969846725463867,8
16,True,random restart hill climbing,0.03381490707397461,8
4,False,hill climbing,0.004090070724487305,8
104,False,hill climbing with sideways moves,0.2766118049621582,8
30,True,random restart hill climbing,0.060553550720214844,8
6,False,hill climbing,0.00807952880859375,8
6,False,hill climbing with sideways moves,0.01548910140991211,8
23,True,random restart hill climbing,0.04896187782287598,8
6,False,hill climbing,0.014394521713256836,8
