solver,problem,avg assignments,sd assignments,avg backtracks,sd backtracks,avg runtime,sd runtime,prob sucess,avg repair,sd repair
1,australia_map,6.0,0.0,0.0,0.0,9.980201721191407e-05,0.0002994060516357422,100.0,,
1,usa_csp,49.0,0.0,0.0,0.0,0.0007979631423950196,0.0003989993645743339,100.0,,
1,zebra,1000.0,0.0,987.0,0.0,0.028820204734802245,0.004683758098977221,0.0,,
1,10 queens,91.0,0.0,81.0,0.0,0.0012996673583984375,0.00046413911525840056,100.0,,
1,30 queens,1000.0,0.0,985.0,0.0,0.027328228950500487,0.0022029213860528495,0.0,,
1,50 queens,1000.0,0.0,966.0,0.0,0.05046060085296631,0.011606256198917775,0.0,,
1,70 queens,1000.0,0.0,954.0,0.0,0.05854587554931641,0.0061807847695843285,0.0,,
1,90 queens,1000.0,0.0,941.0,0.0,0.07141082286834717,0.002375000806616545,0.0,,
2,australia_map,6.0,0.0,0.0,0.0,0.0,0.0,100.0,,
2,usa_csp,49.0,0.0,0.0,0.0,0.0006967544555664063,0.00045615164715351927,100.0,,
2,zebra,1000.0,0.0,650.0,0.0,0.021537923812866212,0.004338887604501171,0.0,,
2,10 queens,73.0,0.0,35.0,0.0,0.0010996341705322265,0.0005436191197662754,100.0,,
2,30 queens,1000.0,0.0,570.0,0.0,0.02363748550415039,0.001276176172476934,0.0,,
2,50 queens,1000.0,0.0,568.0,0.0,0.04547560214996338,0.0013623922357601315,0.0,,
2,70 queens,1000.0,0.0,542.0,0.0,0.07749276161193848,0.0024415141385424424,0.0,,
2,90 queens,1000.0,0.0,538.0,0.0,0.15209345817565917,0.03798458949332571,0.0,,
3,australia_map,6.0,0.0,0.0,0.0,0.00029892921447753905,0.00045662243213764604,100.0,,
3,usa_csp,49.0,0.0,0.0,0.0,0.00359036922454834,0.000489561704829977,100.0,,
3,zebra,1000.0,0.0,989.0,0.0,0.09863381385803223,0.016306411812419003,0.0,,
3,10 queens,50.0,0.0,40.0,0.0,0.008081436157226562,0.0007063453945446101,100.0,,
3,30 queens,1000.0,0.0,979.0,0.0,0.8031146764755249,0.13282082555676253,0.0,,
3,50 queens,1000.0,0.0,966.0,0.0,2.5155159711837767,0.2687823204330491,0.0,,
3,70 queens,1000.0,0.0,953.0,0.0,5.77183883190155,0.6803534368776827,0.0,,
3,90 queens,1000.0,0.0,942.0,0.0,12.938594484329224,0.8248415034101568,0.0,,
4,australia_map,9.2,5.230678732248808,3.2,5.230678732248808,0.00019943714141845703,0.0003988742863996543,100.0,,
4,usa_csp,904.9,285.3,863.1,287.7163359978018,0.03560478687286377,0.012304755594112997,10.0,,
4,zebra,1000.0,0.0,986.9,2.7367864366808017,0.08010003566741944,0.0050947577874938445,0.0,,
4,10 queens,224.6,278.8469831287403,214.6,278.8469831287403,0.005083847045898438,0.006497210120874403,100.0,,
4,30 queens,818.1,248.86198986586922,790.3,250.47237372612577,0.04328675270080566,0.014134255657787443,40.0,,
4,50 queens,771.8,351.15204684011167,725.3,353.4337420224617,0.06164109706878662,0.02816250735564435,40.0,,
4,70 queens,907.8,167.7526750904438,842.2,170.1974147864767,0.14022486209869384,0.03586647067242593,40.0,,
4,90 queens,1000.0,0.0,919.0,2.6457513110645907,0.1363384962081909,0.004461711319863212,0.0,,
5,australia_map,6.0,0.0,0.0,0.0,0.0003988981246948242,0.0004885485415073733,100.0,,
5,usa_csp,49.0,0.0,0.0,0.0,0.0052880048751831055,0.0004598761933869416,100.0,,
5,zebra,45.5,2.9748949561287032,20.5,2.9748949561287032,0.007677292823791504,0.00045599981879089295,100.0,,
5,10 queens,18.1,7.2862884927787475,8.1,7.2862884927787475,0.004787254333496094,0.0020827843064801974,100.0,,
5,30 queens,49.8,28.3365488371467,19.8,28.336548837146704,0.13190093040466308,0.02832498865796318,100.0,,
5,50 queens,82.0,41.554783118192304,32.0,41.554783118192304,1.1625385999679565,0.35192480619870337,100.0,,
5,70 queens,446.5,390.8834225187863,380.6,396.6991807402682,4.049901533126831,1.1136174231033007,70.0,,
5,90 queens,356.2,320.1361585325844,267.5,322.7634582786595,10.12057273387909,1.7701017838391808,90.0,,
6,australia_map,6.0,0.0,,,9.97304916381836e-05,0.0002991914749145508,100.0,0.0,0.0
6,usa_csp,65.4,33.8325287260648,,,0.00409245491027832,0.007867821431155574,100.0,16.4,33.832528726064794
6,zebra,996.7,84.9,,,0.25472302436828614,0.023088942403765998,10.0,971.7,84.9
6,10 queens,93.7,73.87969951211225,,,0.0028943777084350585,0.002704243078069995,100.0,83.7,73.87969951211225
6,30 queens,65.7,13.371985641631536,,,0.003189349174499512,0.0008733219534624252,100.0,35.7,13.371985641631536
6,50 queens,102.1,29.635957889023935,,,0.00718083381652832,0.0030825035879287425,100.0,52.1,29.635957889023935
6,70 queens,132.4,19.703806738800502,,,0.012375926971435547,0.002247189484898627,100.0,62.4,19.703806738800502
6,90 queens,137.4,50.323354419195866,,,0.015656137466430665,0.007151623250998417,100.0,47.4,50.323354419195866
