learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10.0,0.0,0.0,10.0,80.0,61.538461538461554,-100.0,50.000000000000014,10.0,3960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20.0,0.0,0.0,20.0,80.0,58.762886597938156,-33.33333333333328,33.33333333333336,20.0,3960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30.0,0.0,0.0,30.0,80.0,60.00000000000001,14.285714285714285,50.000000000000014,30.0,3960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40.0,0.0,0.0,40.0,85.0,70.0,33.333333333333314,53.84615384615383,40.0,3960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
50.0,0.0,0.0,50.0,88.0,76.15262321144675,39.99999999999999,70.0,50.0,3968.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
60.0,0.0,0.0,60.0,86.66666666666667,73.48066298342542,33.33333333333333,63.63636363636365,60.0,3976.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
70.0,0.0,0.0,70.0,88.57142857142857,76.84036393713812,38.46153846153844,66.66666666666666,70.0,3976.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
80.0,0.0,0.0,80.0,87.5,73.9413680781759,23.076923076923066,58.333333333333336,80.0,3976.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
90.0,0.0,0.0,90.0,88.88888888888889,75.60975609756096,23.076923076923066,58.33333333333333,90.0,3976.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
100.0,0.0,0.0,100.0,90.0,78.92074198988196,33.33333333333336,67.74193548387099,100.0,3992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
110.0,0.0,0.0,110.0,90.9090909090909,81.16438356164383,37.5,72.97297297297295,110.0,3992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
120.0,0.0,0.0,120.0,91.66666666666666,83.02687411598302,44.44444444444443,77.27272727272727,120.0,3992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
130.0,0.0,0.0,130.0,91.53846153846153,83.03677342823251,42.105263157894726,78.84615384615384,130.0,3992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
140.0,0.0,0.0,140.0,92.14285714285714,84.25357873210632,49.999999999999964,80.7017543859649,140.0,3992.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
150.0,0.0,0.0,150.0,92.66666666666666,85.3852967227635,49.999999999999964,83.5820895522388,150.0,4000.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
160.0,0.0,0.0,160.0,93.125,86.25,50.0,85.52631578947368,160.0,4000.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
170.0,0.0,0.0,170.0,92.94117647058823,85.77207420839727,50.00000000000004,84.41558441558442,170.0,4008.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
180.0,0.0,0.0,180.0,92.22222222222223,84.18476214384336,48.14814814814819,82.27848101265825,180.0,4008.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
190.0,0.0,0.0,190.0,87.36842105263159,74.60176005346999,11.111111111111144,73.03370786516855,190.0,4008.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,0.0,0.0,200.0,85.5,71.0752044683822,0.0,69.47368421052632,200.0,4016.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
210.0,0.0,0.0,210.0,85.23809523809524,70.8411717280301,-6.896551724137989,67.36842105263156,210.0,4016.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
220.0,0.0,0.0,220.0,85.9090909090909,72.27191413237925,-6.896551724137891,67.36842105263159,220.0,4016.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
230.0,0.0,0.0,230.0,83.47826086956522,67.23401064707204,-26.66666666666668,63.10679611650484,230.0,4024.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
240.0,0.0,0.0,240.0,83.75,67.74193548387098,-18.181818181818205,62.500000000000014,240.0,4024.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
250.0,0.0,0.0,250.0,82.39999999999999,64.9078032284821,-29.411764705882376,59.63302752293578,250.0,4040.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
260.0,0.015625,1.6330482645167245E-11,260.0,81.92307692307692,63.81617908326424,-34.285714285714334,58.03571428571428,260.0,4040.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
270.0,0.015625,1.6330482645167245E-11,270.0,81.48148148148148,62.766837663412204,-28.2051282051282,56.52173913043477,270.0,4040.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
280.0,0.015625,1.6330482645167245E-11,280.0,81.78571428571428,63.1578947368421,-24.390243902439007,56.03448275862068,280.0,4040.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
290.0,0.015625,1.6330482645167245E-11,290.0,82.41379310344827,64.14545454545454,-24.39024390243908,56.03448275862068,290.0,4040.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
300.0,0.015625,1.6330482645167245E-11,300.0,83.0,65.02057613168724,-24.39024390243901,56.03448275862068,300.0,4040.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
310.0,0.015625,1.6330482645167245E-11,310.0,83.54838709677419,66.41743489528017,-21.42857142857144,58.87096774193547,310.0,4040.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
320.0,0.015625,1.6330482645167245E-11,320.0,84.0625,67.76487319269968,-21.428571428571484,61.94029850746268,320.0,4040.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
330.0,0.015625,1.6330482645167245E-11,330.0,84.54545454545455,68.935730370261,-21.428571428571384,64.58333333333334,330.0,4040.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
340.0,0.015625,1.6330482645167245E-11,340.0,83.52941176470588,66.95018226002432,-24.444444444444446,61.90476190476192,340.0,4040.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
350.0,0.015625,1.6330482645167245E-11,350.0,82.85714285714286,65.5850540806293,-30.43478260869559,59.459459459459474,350.0,4040.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
360.0,0.015625,1.6330482645167245E-11,360.0,83.05555555555556,66.11111111111111,-27.083333333333325,61.14649681528663,360.0,4040.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
370.0,0.015625,1.6330482645167245E-11,370.0,83.51351351351352,67.09432861933226,-27.08333333333331,63.47305389221558,370.0,4040.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
380.0,0.015625,1.6330482645167245E-11,380.0,83.15789473684211,66.42738818332414,-30.6122448979592,63.2183908045977,380.0,4040.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
390.0,0.015625,1.6330482645167245E-11,390.0,82.3076923076923,64.77840894217428,-35.294117647058876,60.57142857142856,390.0,4040.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,0.015625,1.6330482645167245E-11,400.0,82.5,65.1567944250871,-34.61538461538464,60.67415730337077,400.0,528.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
410.0,0.015625,1.6330482645167245E-11,410.0,82.1951219512195,64.57568943070184,-37.735849056603804,59.668508287292795,410.0,4232.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
420.0,0.015625,1.6330482645167245E-11,420.0,82.38095238095238,64.90197849850934,-37.03703703703708,59.782608695652165,420.0,7656.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
